City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Mar Del Plata,-38.0,-57.56,62.6,100,90,3.36,AR,2020-10-25 21:36:20
98,Eldorado,-23.79,-54.28,82.9,56,70,4.63,BR,2020-10-25 21:38:19
99,Cabo San Lucas,22.89,-109.91,91.4,49,20,9.17,MX,2020-10-25 21:36:57
100,Faanui,-16.48,-151.75,80.49,68,22,6.62,PF,2020-10-25 21:37:19
101,Kenora,49.82,-94.43,23.0,85,90,5.82,CA,2020-10-25 21:35:56
102,Saskylakh,71.92,114.08,7.36,93,100,10.71,RU,2020-10-25 21:38:20
103,Thompson,55.74,-97.86,24.8,79,75,6.8,CA,2020-10-25 21:37:16
104,Bengkulu,-3.8,102.27,75.09,87,100,3.02,ID,2020-10-25 21:36:48
105,Oranjemund,-28.55,16.43,58.69,87,26,16.69,NA,2020-10-25 21:38:21
106,Jalu,29.03,21.55,64.85,70,0,8.16,LY,2020-10-25 21:37:39
107,Nakhon Phanom,17.33,104.42,66.34,97,100,3.09,TH,2020-10-25 21:38:21
108,Avarua,-21.21,-159.78,77.0,65,71,13.87,CK,2020-10-25 21:36:42
109,Gawler,-34.6,138.73,50.0,73,25,1.99,AU,2020-10-25 21:38:22
110,Tilichiki,60.47,166.1,31.64,96,100,7.14,RU,2020-10-25 21:33:51
111,Moses Lake,47.13,-119.28,39.2,21,1,8.05,US,2020-10-25 21:33:58
112,Kathmandu,27.72,85.32,60.8,93,75,0.69,NP,2020-10-25 21:34:39
113,Lebu,-37.62,-73.65,52.97,63,0,8.05,CL,2020-10-25 21:36:54
114,Bredasdorp,-34.53,20.04,60.8,93,100,9.17,ZA,2020-10-25 21:38:23
115,Barcelos,41.54,-8.62,55.4,82,40,6.93,PT,2020-10-25 21:34:59
116,Lavrentiya,65.58,-171.0,33.66,89,97,7.94,RU,2020-10-25 21:38:23
117,Uribia,11.71,-72.27,84.16,74,100,6.04,CO,2020-10-25 21:38:23
118,Georgetown,5.41,100.34,78.8,94,40,5.21,MY,2020-10-25 21:36:18
119,Ostrovnoy,68.05,39.51,31.96,93,100,6.49,RU,2020-10-25 21:38:24
120,Broome,42.25,-75.83,51.01,49,90,4.7,US,2020-10-25 21:35:48
121,Vaini,-21.2,-175.2,73.4,94,75,11.41,TO,2020-10-25 21:38:24
122,Ribeira Grande,38.52,-28.7,66.2,82,75,5.82,PT,2020-10-25 21:38:24
123,Prince Rupert,54.32,-130.32,39.2,64,90,8.05,CA,2020-10-25 21:38:21
124,Goundam,16.41,-3.67,85.46,11,8,9.8,ML,2020-10-25 21:38:24
125,Klaksvik,62.23,-6.59,44.6,87,31,8.05,FO,2020-10-25 21:38:25
126,Umba,66.69,34.34,26.04,95,85,7.38,RU,2020-10-25 21:38:25
127,Chon Daen,16.19,100.86,72.3,94,90,2.98,TH,2020-10-25 21:38:25
128,Carmen,18.63,-91.83,84.2,70,40,6.93,MX,2020-10-25 21:38:25
129,Fortuna,40.6,-124.16,64.0,67,1,10.29,US,2020-10-25 21:33:50
130,Novikovo,51.15,37.89,46.31,85,0,2.59,RU,2020-10-25 21:38:26
131,Acajutla,13.59,-89.83,80.6,78,40,2.95,SV,2020-10-25 21:38:26
132,Jinxiang,27.43,120.61,63.52,78,99,6.02,CN,2020-10-25 21:38:26
133,Beaverlodge,55.22,-119.44,32.0,85,75,14.99,CA,2020-10-25 21:38:26
134,Victor Harbor,-35.57,138.62,55.0,70,56,1.01,AU,2020-10-25 21:38:27
135,Bonfim,3.08,-59.95,90.1,47,89,5.14,BR,2020-10-25 21:38:27
136,Itum-Kale,42.74,45.58,55.29,39,0,4.79,RU,2020-10-25 21:38:27
137,Kaitangata,-46.28,169.85,53.01,89,99,3.44,NZ,2020-10-25 21:38:28
138,Kahului,20.89,-156.47,91.4,49,40,11.41,US,2020-10-25 21:38:28
139,Meulaboh,4.14,96.13,75.58,85,100,5.08,ID,2020-10-25 21:38:28
140,Itarema,-2.92,-39.92,80.04,77,48,16.58,BR,2020-10-25 21:37:41
141,Guerrero Negro,27.98,-114.06,72.3,61,34,16.42,MX,2020-10-25 21:38:28
142,Yellowknife,62.46,-114.35,30.2,68,75,5.82,CA,2020-10-25 21:36:42
143,Palmer,42.16,-72.33,50.0,70,40,6.93,US,2020-10-25 21:37:32
144,Rawlins,41.79,-107.24,7.0,71,90,23.04,US,2020-10-25 21:38:29
145,Geraldton,-28.77,114.6,57.2,87,0,5.82,AU,2020-10-25 21:38:29
146,Butaritari,3.07,172.79,81.25,70,59,9.64,KI,2020-10-25 21:35:07
147,Donnacona,46.68,-71.72,39.0,50,63,3.47,CA,2020-10-25 21:38:30
148,Qaanaaq,77.48,-69.36,11.84,80,100,11.5,GL,2020-10-25 21:38:30
149,Lakes Entrance,-37.88,147.98,55.99,83,72,5.01,AU,2020-10-25 21:38:30
150,Kayes,14.0,-11.0,78.8,65,27,4.7,ML,2020-10-25 21:38:30
151,Bud,39.45,-86.18,52.0,53,90,5.82,US,2020-10-25 21:38:31
152,Casper,42.87,-106.31,10.0,71,90,16.11,US,2020-10-25 21:38:31
153,Longyearbyen,78.22,15.64,32.0,94,75,10.29,SJ,2020-10-25 21:36:17
154,Ahipara,-35.17,173.17,67.5,67,4,6.04,NZ,2020-10-25 21:38:31
155,Victoria,22.29,114.16,73.99,79,100,16.4,HK,2020-10-25 21:38:31
156,Knokke-Heist,51.33,3.33,51.8,87,92,18.34,BE,2020-10-25 21:38:32
157,Kavieng,-2.57,150.8,82.8,74,100,6.93,PG,2020-10-25 21:37:15
158,Micoud,13.82,-60.9,84.2,74,20,12.75,LC,2020-10-25 21:38:32
159,Tank,32.22,70.38,67.66,35,0,2.71,PK,2020-10-25 21:38:32
160,West Wendover,40.74,-114.07,37.4,29,40,14.99,US,2020-10-25 21:38:33
161,Arraial Do Cabo,-22.97,-42.03,71.6,83,75,4.7,BR,2020-10-25 21:38:33
162,Porto Santo,33.07,-16.34,68.0,77,20,11.41,PT,2020-10-25 21:38:33
163,Bethel,41.37,-73.41,50.0,53,90,6.93,US,2020-10-25 21:35:56
164,Puerto Quijarro,-17.78,-57.77,88.88,48,1,3.56,BO,2020-10-25 21:38:33
165,Olot,42.18,2.49,60.01,76,81,1.01,ES,2020-10-25 21:38:34
166,Saint-Pierre,-21.34,55.48,69.8,73,0,3.36,RE,2020-10-25 21:36:36
167,Concarneau,47.88,-3.92,51.8,93,40,3.36,FR,2020-10-25 21:38:34
168,Palatka,29.65,-81.64,84.99,1,42,11.99,US,2020-10-25 21:38:34
169,Hilo,19.73,-155.09,87.8,55,20,11.41,US,2020-10-25 21:37:18
170,Sechura,-5.56,-80.82,73.35,59,72,16.82,PE,2020-10-25 21:38:35
171,Kieta,-6.22,155.63,83.07,69,36,2.15,PG,2020-10-25 21:38:35
172,Ust-Koksa,50.27,85.61,26.89,83,99,2.66,RU,2020-10-25 21:38:35
173,Changde,29.05,111.68,61.2,71,100,1.86,CN,2020-10-25 21:38:35
174,Burglengenfeld,49.21,12.04,48.0,93,90,1.83,DE,2020-10-25 21:38:35
175,Kodiak,57.79,-152.41,48.2,87,90,24.16,US,2020-10-25 21:38:36
176,Dikson,73.51,80.55,18.39,97,100,12.84,RU,2020-10-25 21:38:36
177,Batagay,67.63,134.63,4.75,86,0,2.95,RU,2020-10-25 21:38:36
178,Burgeo,47.62,-57.62,38.55,74,0,22.57,CA,2020-10-25 21:38:36
179,Mezen,65.85,44.24,16.11,97,6,4.7,RU,2020-10-25 21:37:45
180,Waddan,29.16,16.14,66.16,57,0,8.95,LY,2020-10-25 21:38:37
181,Dunedin,-45.87,170.5,46.0,91,100,5.99,NZ,2020-10-25 21:38:37
182,Coquimbo,-29.95,-71.34,60.8,72,20,18.34,CL,2020-10-25 21:38:35
183,Yuci,37.68,112.73,44.6,81,59,1.07,CN,2020-10-25 21:38:37
184,Derac,19.65,-71.82,87.8,62,40,9.17,HT,2020-10-25 21:38:37
185,Halmstad,56.67,12.86,53.01,93,100,9.17,SE,2020-10-25 21:38:37
186,Methoni,36.82,21.7,64.0,82,20,14.9,GR,2020-10-25 21:38:38
187,Roblin,51.23,-101.36,18.19,94,88,11.61,CA,2020-10-25 21:38:38
188,Ponta Delgada,37.73,-25.67,59.0,82,20,5.82,PT,2020-10-25 21:38:38
189,Amalfi,6.91,-75.08,66.13,100,99,2.15,CO,2020-10-25 21:38:38
190,Yulara,-25.24,130.99,60.8,36,36,12.75,AU,2020-10-25 21:37:36
191,Alekseyevsk,57.84,108.35,27.16,96,100,7.54,RU,2020-10-25 21:38:39
192,Tasiilaq,65.61,-37.64,32.0,98,99,10.29,GL,2020-10-25 21:38:39
193,Cherskiy,68.75,161.3,14.18,96,100,0.76,RU,2020-10-25 21:38:36
194,Kutum,14.2,24.67,71.37,23,25,12.12,SD,2020-10-25 21:38:39
195,Gallup,35.53,-108.74,68.0,43,75,27.51,US,2020-10-25 21:33:48
196,Esperance,-33.87,121.9,51.8,76,0,17.22,AU,2020-10-25 21:37:54
197,Fergus Falls,46.28,-96.08,24.8,73,75,10.29,US,2020-10-25 21:37:35
198,Severodvinsk,64.56,39.83,30.2,92,90,4.47,RU,2020-10-25 21:38:41
199,Tura,25.52,90.22,68.77,95,2,1.9,IN,2020-10-25 21:38:41
200,Aksarka,66.56,67.8,12.85,96,100,10.85,RU,2020-10-25 21:38:41
201,Tuatapere,-46.13,167.68,51.01,66,90,5.99,NZ,2020-10-25 21:38:41
202,Mackay,-21.15,149.2,77.0,88,90,3.36,AU,2020-10-25 21:38:41
203,Riihimaki,60.74,24.78,48.0,100,90,11.41,FI,2020-10-25 21:38:42
204,Leningradskiy,69.38,178.42,23.97,90,63,5.53,RU,2020-10-25 21:37:57
205,Vila Franca Do Campo,37.72,-25.43,59.0,82,20,5.82,PT,2020-10-25 21:37:15
206,Belousovka,50.13,82.52,41.0,60,90,13.42,KZ,2020-10-25 21:38:42
207,Luderitz,-26.65,15.16,65.34,54,74,24.05,NA,2020-10-25 21:38:42
208,Haicheng,40.85,122.75,47.66,82,7,4.43,CN,2020-10-25 21:38:42
209,Iqaluit,63.75,-68.51,10.4,85,75,5.82,CA,2020-10-25 21:38:01
210,Babol,36.55,52.68,64.63,46,0,1.57,IR,2020-10-25 21:38:43
211,Tual,-5.67,132.75,82.36,71,100,8.93,ID,2020-10-25 21:38:43
212,Nurota,40.56,65.69,41.0,48,42,6.93,UZ,2020-10-25 21:38:43
213,Beloha,-25.17,45.05,67.75,74,99,5.35,MG,2020-10-25 21:37:00
214,Lowestoft,52.48,1.75,50.0,99,93,1.99,GB,2020-10-25 21:38:44
215,Esso,55.93,158.7,30.99,95,52,3.06,RU,2020-10-25 21:33:49
216,Dzaoudzi,-12.79,45.27,77.0,83,0,5.82,YT,2020-10-25 21:38:44
217,Keti Bandar,24.14,67.45,77.41,55,0,5.84,PK,2020-10-25 21:38:44
218,Tianpeng,30.99,103.94,68.0,1,98,2.04,CN,2020-10-25 21:38:45
219,Russell,32.35,-85.2,77.0,65,90,3.36,US,2020-10-25 21:38:45
220,Egvekinot,66.32,-179.17,22.17,94,0,3.02,RU,2020-10-25 21:38:45
221,Saint-Augustin,51.23,-58.65,33.04,84,3,12.71,CA,2020-10-25 21:38:45
222,Vostok,46.49,135.88,30.11,99,70,1.7,RU,2020-10-25 21:38:46
223,Balabac,7.99,117.06,80.94,79,100,13.69,PH,2020-10-25 21:38:46
224,Colesberg,-30.72,25.1,64.22,58,0,12.75,ZA,2020-10-25 21:34:07
225,Tarragona,41.13,1.25,61.0,87,0,2.24,ES,2020-10-25 21:37:14
226,Dongsheng,39.82,109.98,41.94,61,0,11.03,CN,2020-10-25 21:38:46
227,Rivers,50.03,-100.24,24.8,62,75,12.75,CA,2020-10-25 21:38:47
228,Donegal,54.65,-8.12,48.79,87,90,10.94,IE,2020-10-25 21:38:47
229,Prince Albert,53.2,-105.77,26.6,45,75,11.41,CA,2020-10-25 21:37:45
230,Hobyo,5.35,48.53,79.41,83,0,8.59,SO,2020-10-25 21:38:47
231,Lae,-6.72,146.98,73.4,88,40,5.82,PG,2020-10-25 21:38:48
232,Opelousas,30.53,-92.08,72.0,68,1,9.17,US,2020-10-25 21:38:48
233,Moerai,-22.43,-151.33,72.27,79,69,19.82,PF,2020-10-25 21:38:48
234,Gat,31.61,34.76,75.2,83,0,4.7,IL,2020-10-25 21:36:01
235,Half Moon Bay,37.46,-122.43,68.0,68,40,3.36,US,2020-10-25 21:38:49
236,Hoquiam,46.98,-123.89,48.99,36,1,18.34,US,2020-10-25 21:38:49
237,Sao Filipe,14.9,-24.5,82.92,61,95,16.13,CV,2020-10-25 21:38:49
238,San Quintin,30.48,-115.95,68.88,64,63,13.06,MX,2020-10-25 21:38:49
239,Puerto Del Rosario,28.5,-13.86,69.8,77,40,18.34,ES,2020-10-25 21:38:49
240,Hasaki,35.73,140.83,48.2,93,75,2.24,JP,2020-10-25 21:38:50
241,Horizontina,-27.63,-54.31,83.17,40,0,6.22,BR,2020-10-25 21:38:50
242,Bjornevatn,69.67,29.98,32.0,95,75,21.92,NO,2020-10-25 21:38:50
243,Jeremoabo,-10.07,-38.48,83.26,51,71,12.82,BR,2020-10-25 21:38:50
244,Kruisfontein,-34.0,24.73,61.0,94,100,1.01,ZA,2020-10-25 21:38:50
245,Baie-Comeau,49.22,-68.15,37.4,37,40,4.7,CA,2020-10-25 21:38:51
246,Erenhot,43.65,111.98,41.27,62,14,17.02,CN,2020-10-25 21:36:41
247,Moron,-34.65,-58.62,72.0,88,90,8.05,AR,2020-10-25 21:38:02
248,Maracacume,-2.04,-45.96,77.45,86,100,4.61,BR,2020-10-25 21:38:52
249,Zhenlai,45.85,123.3,35.33,82,16,2.28,CN,2020-10-25 21:38:52
250,Qui Nhon,13.77,109.23,74.97,89,100,4.12,VN,2020-10-25 21:38:53
251,Bandarbeyla,9.49,50.81,75.63,78,1,12.19,SO,2020-10-25 21:38:53
252,Prieska,-29.66,22.75,74.73,20,18,1.12,ZA,2020-10-25 21:34:07
253,Mabini,15.6,120.98,78.8,88,90,20.8,PH,2020-10-25 21:38:54
254,Ancud,-41.87,-73.82,55.99,57,90,13.87,CL,2020-10-25 21:38:28
255,Zambezi,-13.54,23.1,71.47,26,11,2.98,ZM,2020-10-25 21:38:54
256,Nur,52.67,22.32,51.01,86,96,5.99,PL,2020-10-25 21:38:54
257,Platteville,42.73,-90.48,35.6,69,90,11.41,US,2020-10-25 21:38:55
258,Nancha,47.13,129.27,31.98,96,0,1.52,CN,2020-10-25 21:38:55
259,Saldanha,-33.01,17.94,59.0,77,24,8.05,ZA,2020-10-25 21:38:22
260,Beringovskiy,63.05,179.32,30.58,92,56,2.98,RU,2020-10-25 21:38:55
261,Urucui,-7.23,-44.56,80.08,68,97,1.83,BR,2020-10-25 21:38:56
262,Peleduy,59.63,112.74,27.72,97,100,7.52,RU,2020-10-25 21:38:56
