City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Margate,GB,2020-10-24 21:07:35,51.38,1.39,60.01,79,100,11.99
187,Nurota,UZ,2020-10-24 21:07:35,40.56,65.69,37.4,55,0,2.24
188,Xiaoweizhai,CN,2020-10-24 21:05:07,26.19,107.51,51.93,91,70,2.01
189,Tromso,NO,2020-10-24 21:07:35,69.65,18.96,35.6,88,75,20.8
190,Starobaltachevo,RU,2020-10-24 21:07:36,56.0,55.92,40.68,97,100,7.2
191,Longyearbyen,SJ,2020-10-24 21:07:36,78.22,15.64,19.4,85,75,2.24
192,Vestmannaeyjar,IS,2020-10-24 21:07:36,63.44,-20.27,46.31,63,94,26.37
193,Tuatapere,NZ,2020-10-24 21:07:36,-46.13,167.68,71.01,58,96,15.99
194,Bijie,CN,2020-10-24 21:07:37,27.31,105.29,53.73,81,99,1.74
195,Valparaiso,CL,2020-10-24 21:06:03,-33.04,-71.63,68.0,45,0,16.11
196,Port Elizabeth,ZA,2020-10-24 21:07:37,-33.92,25.57,64.0,83,19,1.01
197,Lampang,TH,2020-10-24 21:07:37,18.33,99.5,70.54,95,97,0.96
198,Bocaiuva,BR,2020-10-24 21:07:38,-17.11,-43.81,68.88,89,100,2.01
199,Malindi,KE,2020-10-24 21:07:38,-3.22,40.12,79.05,82,77,13.87
200,Touros,BR,2020-10-24 21:06:53,-5.2,-35.46,80.6,74,20,10.29
201,Kharan,PK,2020-10-24 21:07:38,28.58,65.42,58.51,32,0,7.36
202,Svay Rieng,KH,2020-10-24 21:07:39,11.09,105.8,76.84,89,98,3.74
203,Ulagan,RU,2020-10-24 21:07:39,50.63,87.96,19.96,85,78,2.33
204,Tateyama,JP,2020-10-24 21:07:39,34.98,139.87,57.2,50,20,14.99
205,Sept-Iles,CA,2020-10-24 21:07:16,50.2,-66.38,44.6,65,75,10.29
206,Dekernes,EG,2020-10-24 21:07:40,31.09,31.59,75.2,78,0,8.05
207,Santa Isabel Do Rio Negro,BR,2020-10-24 21:07:40,-0.41,-65.02,89.74,57,73,1.3
208,Kapuskasing,CA,2020-10-24 21:05:32,49.42,-82.43,33.8,69,40,5.82
209,Liberal,US,2020-10-24 21:07:40,37.04,-100.92,57.2,35,1,18.34
